source,target,data_size
1,2,1024
1,3,1024
1,4,1024
1,5,1024
1,6,1024
1,7,1024
1,8,1024
1,9,1024
1,10,1024
1,11,1024
1,12,1024
1,13,1024
1,14,1024
1,15,1024
1,16,1024
1,17,1024
1,18,1024
1,19,1024
23,26,1024
23,27,1024
24,26,1024
24,27,1024
25,26,1024
25,27,1024
28,2,1024
28,3,1024
28,4,1024
28,5,1024
28,6,1024
28,7,1024
28,8,1024
28,9,1024
28,10,1024
28,11,1024
28,12,1024
28,13,1024
28,14,1024
28,15,1024
28,16,1024
28,17,1024
28,18,1024
28,19,1024
28,23,1024
28,24,1024
28,25,1024
28,29,1024
28,30,1024
28,31,1024
28,32,1024
29,2,1024
29,3,1024
29,4,1024
29,5,1024
29,6,1024
29,7,1024
29,8,1024
29,9,1024
29,10,1024
29,11,1024
29,12,1024
29,13,1024
29,14,1024
29,15,1024
29,16,1024
29,17,1024
29,18,1024
29,19,1024
29,30,1024
29,31,1024
29,32,1024
30,31,1024
30,32,1024
33,34,1024
33,35,1024
33,36,1024
33,37,1024
34,35,1024
34,36,1024
34,37,1024
35,36,1024
35,37,1024
38,39,1024
38,40,1024
38,41,1024
38,42,1024
39,40,1024
39,41,1024
39,42,1024
40,41,1024
40,42,1024
43,44,1024
43,45,1024
43,46,1024
43,47,1024
44,45,1024
44,46,1024
44,47,1024
45,46,1024
45,47,1024
