source,target,data_size
1,2,1024
1,3,1024
1,4,1024
1,5,1024
1,6,1024
1,7,1024
1,8,1024
1,9,1024
1,10,1024
1,11,1024
1,12,1024
1,13,1024
1,14,1024
1,15,1024
1,16,1024
1,17,1024
1,18,1024
1,19,1024
1,20,1024
1,21,1024
1,22,1024
1,23,1024
1,24,1024
1,25,1024
1,26,1024
1,27,1024
1,28,1024
1,29,1024
1,30,1024
1,31,1024
1,32,1024
1,33,1024
34,35,1024
34,36,1024
34,37,1024
34,38,1024
34,39,1024
34,40,1024
34,41,1024
34,42,1024
34,43,1024
34,44,1024
34,45,1024
34,46,1024
34,47,1024
34,48,1024
34,49,1024
34,50,1024
34,51,1024
34,52,1024
56,59,1024
56,60,1024
57,59,1024
57,60,1024
58,59,1024
58,60,1024
61,1,1024
61,2,1024
61,3,1024
61,4,1024
61,5,1024
61,6,1024
61,7,1024
61,8,1024
61,9,1024
61,10,1024
61,11,1024
61,12,1024
61,13,1024
61,14,1024
61,15,1024
61,16,1024
61,17,1024
61,18,1024
61,19,1024
61,20,1024
61,21,1024
61,22,1024
61,23,1024
61,24,1024
61,25,1024
61,26,1024
61,27,1024
61,28,1024
61,29,1024
61,30,1024
61,31,1024
61,32,1024
61,33,1024
61,35,1024
61,36,1024
61,37,1024
61,38,1024
61,39,1024
61,40,1024
61,41,1024
61,42,1024
61,43,1024
61,44,1024
61,45,1024
61,46,1024
61,47,1024
61,48,1024
61,49,1024
61,50,1024
61,51,1024
61,52,1024
61,56,1024
61,57,1024
61,58,1024
61,62,1024
61,63,1024
61,64,1024
61,65,1024
62,1,1024
62,2,1024
62,3,1024
62,4,1024
62,5,1024
62,6,1024
62,7,1024
62,8,1024
62,9,1024
62,10,1024
62,11,1024
62,12,1024
62,13,1024
62,14,1024
62,15,1024
62,16,1024
62,17,1024
62,18,1024
62,19,1024
62,20,1024
62,21,1024
62,22,1024
62,23,1024
62,24,1024
62,25,1024
62,26,1024
62,27,1024
62,28,1024
62,29,1024
62,30,1024
62,31,1024
62,32,1024
62,33,1024
62,35,1024
62,36,1024
62,37,1024
62,38,1024
62,39,1024
62,40,1024
62,41,1024
62,42,1024
62,43,1024
62,44,1024
62,45,1024
62,46,1024
62,47,1024
62,48,1024
62,49,1024
62,50,1024
62,51,1024
62,52,1024
62,63,1024
62,64,1024
62,65,1024
63,64,1024
63,65,1024
66,67,1024
66,68,1024
66,69,1024
66,70,1024
67,68,1024
67,69,1024
67,70,1024
68,69,1024
68,70,1024
71,72,1024
71,73,1024
71,74,1024
71,75,1024
72,73,1024
72,74,1024
72,75,1024
73,74,1024
73,75,1024
76,77,1024
76,78,1024
76,79,1024
76,80,1024
77,78,1024
77,79,1024
77,80,1024
78,79,1024
78,80,1024
