vnf_id,alu,stage,sram
1,1,1,32768
2,1,1,32768
3,1,1,32768
4,1,1,32768
5,1,1,32768
6,1,1,32768
7,1,1,32768
8,1,1,32768
9,1,1,32768
10,1,1,32768
11,1,1,32768
12,1,1,32768
13,1,1,32768
14,1,1,32768
15,1,1,32768
16,1,1,32768
17,1,1,32768
18,1,1,32768
19,1,1,32768
20,1,1,32768
21,1,1,32768
22,1,1,32768
23,1,1,32768
24,1,1,32768
25,1,1,32768
26,1,1,32768
27,1,1,32768
28,1,1,32768
29,1,1,32768
30,1,1,32768
31,1,1,32768
32,1,1,32768
33,1,1,32768
34,1,1,32768
35,1,1,32768
36,1,1,32768
37,1,1,32768
38,1,1,32768
39,1,1,32768
40,1,1,32768
41,1,1,32768
42,1,1,32768
43,1,1,32768
44,1,1,32768
45,1,1,32768
46,1,1,32768
47,1,1,32768
48,1,1,32768
49,1,1,32768
50,1,1,32768
51,1,1,32768
52,1,1,32768
53,1,1,32768
54,1,1,32768
55,1,1,32768
56,1,1,32768
57,1,1,32768
58,1,1,32768
59,1,1,32768
60,1,1,32768
61,1,1,32768
62,1,1,32768
63,1,1,32768
64,1,1,32768
65,1,1,32768
66,1,1,32768
67,1,1,32768
68,1,1,32768
69,1,1,32768
70,1,1,32768
71,1,1,32768
72,1,1,32768
73,1,1,32768
74,1,1,32768
75,1,1,32768
76,1,1,32768
77,1,1,32768
78,1,1,32768
79,1,1,32768
80,1,1,32768
81,1,1,32768
82,1,1,32768
83,1,1,32768
84,1,1,32768
85,1,1,32768
86,1,1,32768
87,1,1,32768
88,1,1,32768
89,1,1,32768
90,1,1,32768
91,1,1,32768
92,1,1,32768
93,1,1,32768
94,1,1,32768
95,1,1,32768
96,1,1,32768
97,1,1,32768
98,1,1,32768
99,1,1,32768
100,1,1,32768
101,1,1,32768
102,1,1,32768
103,1,1,32768
104,1,1,32768
105,1,1,32768
106,1,1,32768
107,1,1,32768
108,1,1,32768
109,1,1,32768
110,1,1,32768
111,1,1,32768
112,1,1,32768
113,1,1,32768
114,1,1,32768
115,1,1,32768
116,1,1,32768
117,1,1,32768
118,1,1,32768
119,1,1,32768
120,1,1,32768
121,1,1,32768
122,1,1,32768
123,1,1,32768
124,1,1,32768
125,1,1,32768
126,1,1,32768
127,1,1,32768
128,1,1,32768
129,1,1,32768
130,1,1,32768
131,1,1,32768
132,1,1,32768
133,1,1,32768
134,1,1,32768
135,1,1,32768
136,1,1,32768
137,1,1,32768
138,1,1,32768
139,1,1,32768
140,1,1,32768
141,1,1,32768
142,1,1,32768
143,1,1,32768
144,1,1,32768
145,1,1,32768
146,1,1,32768
147,1,1,32768
148,1,1,32768
149,1,1,32768
150,1,1,32768
151,1,1,32768
152,1,1,32768
153,1,1,32768
154,1,1,32768
155,1,1,32768
156,1,1,32768
157,1,1,32768
158,1,1,32768
159,1,1,32768
160,1,1,32768
161,1,1,32768
162,1,1,32768
163,1,1,32768
164,1,1,32768
165,1,1,32768
166,1,1,32768
167,1,1,32768
168,1,1,32768
169,1,1,32768
170,1,1,32768
171,1,1,32768
172,1,1,32768
173,1,1,32768
174,1,1,32768
175,1,1,32768
176,1,1,32768
177,1,1,32768
178,1,1,32768
179,1,1,32768
180,1,1,32768
181,1,1,32768
182,1,1,32768
183,1,1,32768
184,1,1,32768
185,1,1,32768
186,1,1,32768
187,1,1,32768
188,1,1,32768
189,1,1,32768
190,1,1,32768
191,1,1,32768
192,1,1,32768
193,1,1,32768
194,1,1,32768
195,1,1,32768
196,1,1,32768
197,1,1,32768
198,1,1,32768
199,1,1,32768
200,1,1,32768
201,1,1,32768
202,1,1,32768
203,1,1,32768
204,1,1,32768
205,1,1,32768
206,1,1,32768
207,1,1,32768
208,1,1,32768
209,1,1,32768
210,1,1,32768
211,1,1,32768
212,1,1,32768
213,1,1,32768
214,1,1,32768
215,1,1,32768
216,1,1,32768
217,1,1,32768
218,1,1,32768
219,1,1,32768
220,1,1,32768
221,1,1,32768
222,1,1,32768
223,1,1,32768
224,1,1,32768
225,1,1,32768
226,1,1,32768
227,1,1,32768
228,1,1,32768
229,1,1,32768
230,1,1,32768
231,1,1,32768
232,1,1,32768
233,1,1,32768
234,1,1,32768
235,1,1,32768
236,1,1,32768
237,1,1,32768
238,1,1,32768
239,1,1,32768
240,1,1,32768
241,1,1,32768
242,1,1,32768
243,1,1,32768
244,1,1,32768
245,1,1,32768
246,1,1,32768
247,1,1,32768
248,1,1,32768
249,1,1,32768
250,1,1,32768
251,1,1,32768
252,1,1,32768
253,1,1,32768
254,1,1,32768
255,1,1,32768
256,1,1,32768
257,1,1,32768
258,1,1,32768
259,1,1,32768
260,1,1,32768
261,1,1,32768
262,1,1,32768
263,1,1,32768
264,1,1,32768
265,1,1,32768
266,1,1,32768
267,1,1,32768
268,1,1,32768
269,1,1,32768
270,1,1,32768
