source,target,data_size
21,24,1024
21,25,1024
22,24,1024
22,25,1024
23,24,1024
23,25,1024
26,1,1024
26,2,1024
26,3,1024
26,4,1024
26,5,1024
26,6,1024
26,7,1024
26,8,1024
26,9,1024
26,10,1024
26,11,1024
26,12,1024
26,13,1024
26,14,1024
26,15,1024
26,16,1024
26,17,1024
26,21,1024
26,22,1024
26,23,1024
26,27,1024
26,28,1024
26,29,1024
26,30,1024
26,95,1024
27,1,1024
27,2,1024
27,3,1024
27,4,1024
27,5,1024
27,6,1024
27,7,1024
27,8,1024
27,9,1024
27,10,1024
27,11,1024
27,12,1024
27,13,1024
27,14,1024
27,15,1024
27,16,1024
27,17,1024
27,28,1024
27,29,1024
27,30,1024
27,95,1024
28,29,1024
28,30,1024
31,32,1024
31,33,1024
31,34,1024
31,35,1024
32,33,1024
32,34,1024
32,35,1024
33,34,1024
33,35,1024
36,37,1024
36,38,1024
36,39,1024
36,40,1024
37,38,1024
37,39,1024
37,40,1024
38,39,1024
38,40,1024
41,42,1024
41,43,1024
41,44,1024
41,45,1024
42,43,1024
42,44,1024
42,45,1024
43,44,1024
43,45,1024
79,47,1024
79,48,1024
79,49,1024
79,50,1024
79,51,1024
79,52,1024
79,53,1024
79,54,1024
79,55,1024
79,56,1024
79,57,1024
79,58,1024
79,59,1024
79,60,1024
79,61,1024
79,62,1024
79,63,1024
79,64,1024
79,65,1024
79,66,1024
79,67,1024
79,68,1024
79,69,1024
79,70,1024
79,71,1024
79,72,1024
79,73,1024
79,74,1024
79,75,1024
79,76,1024
79,77,1024
79,78,1024
79,80,1024
79,81,1024
79,82,1024
79,83,1024
79,84,1024
79,85,1024
79,86,1024
79,87,1024
79,88,1024
79,89,1024
79,90,1024
79,91,1024
79,92,1024
79,93,1024
79,94,1024
79,95,1024
79,96,1024
79,97,1024
79,98,1024
79,99,1024
79,100,1024
79,101,1024
79,102,1024
79,103,1024
79,104,1024
79,105,1024
79,106,1024
79,107,1024
79,108,1024
79,109,1024
79,110,1024
79,111,1024
94,1,1024
94,2,1024
94,3,1024
94,4,1024
94,5,1024
94,6,1024
94,7,1024
94,8,1024
94,9,1024
94,10,1024
94,11,1024
94,12,1024
94,13,1024
94,14,1024
94,15,1024
94,16,1024
94,17,1024
94,95,1024
112,113,1024
112,114,1024
112,115,1024
112,116,1024
112,117,1024
112,118,1024
112,119,1024
112,120,1024
112,121,1024
112,122,1024
112,123,1024
112,124,1024
112,125,1024
112,126,1024
112,127,1024
112,128,1024
112,129,1024
112,130,1024
134,137,1024
134,138,1024
135,137,1024
135,138,1024
136,137,1024
136,138,1024
139,47,1024
139,48,1024
139,49,1024
139,50,1024
139,51,1024
139,52,1024
139,53,1024
139,54,1024
139,55,1024
139,56,1024
139,57,1024
139,58,1024
139,59,1024
139,60,1024
139,61,1024
139,62,1024
139,63,1024
139,64,1024
139,65,1024
139,66,1024
139,67,1024
139,68,1024
139,69,1024
139,70,1024
139,71,1024
139,72,1024
139,73,1024
139,74,1024
139,75,1024
139,76,1024
139,77,1024
139,78,1024
139,79,1024
139,80,1024
139,81,1024
139,82,1024
139,83,1024
139,84,1024
139,85,1024
139,86,1024
139,87,1024
139,88,1024
139,89,1024
139,90,1024
139,91,1024
139,92,1024
139,93,1024
139,94,1024
139,95,1024
139,96,1024
139,97,1024
139,98,1024
139,99,1024
139,100,1024
139,101,1024
139,102,1024
139,103,1024
139,104,1024
139,105,1024
139,106,1024
139,107,1024
139,108,1024
139,109,1024
139,110,1024
139,111,1024
139,113,1024
139,114,1024
139,115,1024
139,116,1024
139,117,1024
139,118,1024
139,119,1024
139,120,1024
139,121,1024
139,122,1024
139,123,1024
139,124,1024
139,125,1024
139,126,1024
139,127,1024
139,128,1024
139,129,1024
139,130,1024
139,134,1024
139,135,1024
139,136,1024
139,140,1024
139,141,1024
139,142,1024
139,143,1024
140,47,1024
140,48,1024
140,49,1024
140,50,1024
140,51,1024
140,52,1024
140,53,1024
140,54,1024
140,55,1024
140,56,1024
140,57,1024
140,58,1024
140,59,1024
140,60,1024
140,61,1024
140,62,1024
140,63,1024
140,64,1024
140,65,1024
140,66,1024
140,67,1024
140,68,1024
140,69,1024
140,70,1024
140,71,1024
140,72,1024
140,73,1024
140,74,1024
140,75,1024
140,76,1024
140,77,1024
140,78,1024
140,79,1024
140,80,1024
140,81,1024
140,82,1024
140,83,1024
140,84,1024
140,85,1024
140,86,1024
140,87,1024
140,88,1024
140,89,1024
140,90,1024
140,91,1024
140,92,1024
140,93,1024
140,94,1024
140,95,1024
140,96,1024
140,97,1024
140,98,1024
140,99,1024
140,100,1024
140,101,1024
140,102,1024
140,103,1024
140,104,1024
140,105,1024
140,106,1024
140,107,1024
140,108,1024
140,109,1024
140,110,1024
140,111,1024
140,113,1024
140,114,1024
140,115,1024
140,116,1024
140,117,1024
140,118,1024
140,119,1024
140,120,1024
140,121,1024
140,122,1024
140,123,1024
140,124,1024
140,125,1024
140,126,1024
140,127,1024
140,128,1024
140,129,1024
140,130,1024
140,141,1024
140,142,1024
140,143,1024
141,142,1024
141,143,1024
144,145,1024
144,146,1024
144,147,1024
144,148,1024
145,146,1024
145,147,1024
145,148,1024
146,147,1024
146,148,1024
149,150,1024
149,151,1024
149,152,1024
149,153,1024
150,151,1024
150,152,1024
150,153,1024
151,152,1024
151,153,1024
154,155,1024
154,156,1024
154,157,1024
154,158,1024
155,156,1024
155,157,1024
155,158,1024
156,157,1024
156,158,1024
