source,target,bandwidth,latency
0,55,10000,37
1,55,10000,34
2,3,10000,46
3,53,10000,30
3,55,10000,32
4,7,10000,45
5,7,10000,42
6,7,10000,38
7,32,10000,49
7,33,10000,29
7,35,10000,46
7,41,10000,40
7,10,10000,26
7,11,10000,42
7,45,10000,39
7,46,10000,38
7,47,10000,40
7,16,10000,49
7,17,10000,25
7,51,10000,25
7,43,10000,20
7,55,10000,42
7,24,10000,36
7,25,10000,42
7,27,10000,30
7,23,10000,30
8,33,10000,30
9,33,10000,21
12,33,10000,25
13,33,10000,48
14,41,10000,34
15,41,10000,43
18,43,10000,32
19,43,10000,39
20,42,10000,23
20,21,10000,22
20,22,10000,23
26,41,10000,43
27,36,10000,34
27,37,10000,44
27,38,10000,37
27,39,10000,50
28,33,10000,37
29,41,10000,32
30,41,10000,49
31,33,10000,22
32,55,10000,30
34,35,10000,46
40,41,10000,39
42,43,10000,35
43,48,10000,21
44,51,10000,47
49,51,10000,30
50,51,10000,24
52,55,10000,30
54,55,10000,39
55,56,10000,27
55,57,10000,37
55,58,10000,30
55,59,10000,46
55,60,10000,42
55,61,10000,28
