source,target,bandwidth,latency
0,1,10000,30
0,6,10000,35
0,8,10000,40
1,2,10000,25
2,3,10000,45
3,4,10000,20
3,5,10000,30
4,7,10000,35
4,9,10000,40
5,6,10000,25
6,7,10000,30
6,11,10000,35
8,13,10000,40
9,10,10000,45
10,12,10000,20
11,12,10000,25
11,14,10000,30
12,17,10000,35
13,14,10000,40
13,21,10000,45
14,15,10000,20
14,20,10000,25
15,16,10000,30
16,17,10000,35
17,18,10000,40
17,22,10000,45
18,23,10000,20
19,20,10000,25
19,21,10000,30
20,21,10000,35
20,24,10000,40
21,31,10000,45
22,26,10000,20
22,28,10000,25
23,27,10000,30
24,25,10000,35
25,26,10000,40
26,28,10000,45
27,29,10000,20
28,29,10000,25
28,30,10000,30
30,35,10000,35
31,32,10000,40
31,36,10000,45
32,33,10000,20
33,34,10000,25
34,35,10000,30
34,39,10000,35
36,37,10000,40
37,38,10000,45
38,41,10000,20
39,40,10000,25
40,41,10000,30
