node_id,alu,stage,sram,pipeline
0,16,4,276480,2
1,16,4,276480,2
2,16,4,276480,2
3,16,4,276480,2
4,16,4,276480,2
5,16,4,276480,2
6,16,4,276480,2
7,16,4,276480,2
8,16,4,276480,2
9,16,4,276480,2
10,16,4,276480,2
11,16,4,276480,2
12,16,4,276480,2
13,16,4,276480,2
14,16,4,276480,2
15,16,4,276480,2
16,16,4,276480,2
17,16,4,276480,2
18,16,4,276480,2
19,16,4,276480,2
20,16,4,276480,2
21,16,4,276480,2
22,16,4,276480,2
23,16,4,276480,2
24,16,4,276480,2
25,16,4,276480,2
26,16,4,276480,2
27,16,4,276480,2
28,16,4,276480,2
29,16,4,276480,2
30,16,4,276480,2
31,16,4,276480,2
32,16,4,276480,2
33,16,4,276480,2
34,16,4,276480,2
35,16,4,276480,2
36,16,4,276480,2
37,16,4,276480,2
38,16,4,276480,2
39,16,4,276480,2
40,16,4,276480,2
41,16,4,276480,2
