source,target,bandwidth,latency
0,35,10000,31
0,103,10000,31
1,65,10000,37
1,39,10000,22
2,3,10000,33
2,101,10000,23
2,55,10000,27
3,49,10000,50
3,101,10000,31
4,48,10000,42
4,5,10000,43
5,33,10000,23
6,33,10000,20
6,19,10000,35
7,64,10000,39
7,8,10000,37
7,18,10000,29
7,19,10000,43
8,64,10000,39
8,9,10000,45
9,39,10000,41
10,37,10000,20
10,17,10000,46
10,82,10000,41
10,83,10000,47
10,22,10000,39
10,22,10000,37
10,31,10000,30
11,72,10000,41
11,72,10000,29
11,73,10000,40
11,106,10000,32
11,21,10000,34
12,27,10000,33
12,26,10000,39
12,19,10000,49
12,19,10000,31
12,52,10000,34
13,104,10000,27
13,105,10000,47
13,61,10000,42
14,44,10000,45
14,15,10000,22
15,44,10000,46
16,24,10000,31
16,89,10000,44
16,27,10000,47
16,72,10000,37
16,56,10000,49
17,17,10000,20
17,23,10000,23
18,26,10000,27
18,27,10000,22
18,47,10000,49
18,47,10000,34
20,72,10000,37
20,31,10000,32
21,46,10000,29
23,31,10000,49
24,27,10000,26
25,52,10000,45
25,28,10000,30
28,29,10000,42
29,77,10000,43
30,100,10000,37
30,99,10000,27
30,84,10000,22
30,85,10000,34
32,33,10000,26
32,74,10000,32
32,43,10000,50
32,66,10000,40
33,45,10000,45
34,104,10000,33
34,46,10000,24
34,46,10000,35
34,102,10000,35
35,75,10000,44
35,53,10000,41
36,75,10000,26
36,53,10000,26
36,39,10000,26
37,58,10000,22
37,61,10000,24
38,48,10000,37
38,48,10000,20
38,49,10000,49
38,52,10000,38
38,54,10000,32
38,54,10000,24
40,80,10000,41
40,41,10000,30
40,68,10000,21
40,81,10000,40
40,71,10000,38
41,68,10000,50
41,62,10000,38
41,62,10000,42
41,71,10000,26
42,43,10000,34
42,68,10000,44
42,109,10000,50
42,79,10000,23
43,69,10000,46
43,78,10000,48
43,79,10000,38
43,81,10000,41
44,60,10000,38
44,53,10000,49
45,64,10000,32
45,74,10000,30
45,67,10000,27
46,47,10000,35
47,73,10000,24
48,49,10000,21
49,70,10000,34
50,57,10000,25
50,51,10000,36
50,93,10000,38
50,95,10000,25
51,88,10000,33
51,89,10000,50
51,93,10000,41
53,59,10000,25
54,55,10000,33
54,55,10000,33
55,92,10000,39
56,57,10000,43
56,57,10000,23
56,77,10000,40
57,96,10000,39
57,92,10000,40
57,97,10000,21
58,107,10000,28
59,60,10000,37
63,98,10000,50
63,84,10000,50
63,70,10000,33
63,71,10000,33
65,67,10000,34
66,109,10000,21
69,109,10000,29
73,73,10000,22
76,88,10000,50
76,87,10000,24
78,80,10000,39
82,83,10000,27
84,101,10000,50
85,90,10000,37
86,94,10000,28
86,95,10000,46
87,94,10000,23
90,91,10000,48
91,101,10000,50
94,108,10000,39
102,103,10000,43
105,106,10000,31
106,107,10000,30
